datasourceid,time,rolling_pm25_24h,rolling_no2_24h
DEQFM3089,2026-02-10T14:01:21.000Z,15.62,18.099999999999998
DEVFQ3796,2026-01-26T12:31:33.000Z,7.66,
DEVFQ3796,2026-01-27T00:18:10.000Z,8.690000000000001,
DEVFQ3796,2026-01-27T05:36:20.000Z,11.393333333333336,
DEVFQ3796,2026-02-10T21:12:31.000Z,19.65,12.07
DEWGT8066,2026-01-26T20:09:32.000Z,12.19,
DEWGT8066,2026-01-26T22:29:58.000Z,12.895,
DEWGT8066,2026-01-27T00:15:20.000Z,15.186666666666667,
DEWGT8066,2026-01-27T14:00:27.000Z,13.97,
DEWGT8066,2026-02-10T15:06:55.000Z,27.41,22.27
DEWGT8066,2026-02-28T22:41:02.000Z,,
DEYGE9157,2026-01-26T18:54:45.000Z,5.89,
DFAKZ8204,2026-02-10T03:51:25.000Z,18.47,13.36
DFAKZ8204,2026-02-10T04:25:47.000Z,18.22,13.54
DFAQM2360,2026-01-27T00:02:33.000Z,13.42,
DFAQM2360,2026-01-27T08:18:24.000Z,16.55,
DFAQM2360,2026-01-27T08:35:29.000Z,17.013333333333335,
DFAQM2360,2026-01-27T10:18:01.000Z,16.9525,
DFAQM2360,2026-01-27T12:17:45.000Z,16.418,
DFAQM2360,2026-01-27T14:34:33.000Z,15.423333333333334,
DFCTF9310,2026-01-27T01:21:06.000Z,8.92,
DFCTF9310,2026-01-27T03:39:08.000Z,15.335,
DFDFU1164,2026-01-26T13:36:20.000Z,10.14,
DFDFU1164,2026-02-10T21:18:06.000Z,19.67,21.14
DFDVG9143,2026-01-26T18:33:21.000Z,6.99,
DFDVG9143,2026-02-10T20:48:16.000Z,21.96,15.93
DFDVG9143,2026-02-10T23:39:59.000Z,22.759999999999998,14.719999999999999
DFEAJ0038,2025-12-08T02:28:49.366Z,3.42,
DFEAJ0038,2025-12-15T17:56:31.734Z,,
DFEAJ0038,2025-12-30T22:53:13.723Z,5.03,
DFEAJ0038,2026-01-05T01:54:01.907Z,20.0,
DFEAJ0038,2026-01-17T11:49:27.000Z,,
DFEAJ0038,2026-01-17T22:58:37.000Z,,
DFEAJ0038,2026-01-18T00:24:25.000Z,,
DFEAJ0038,2026-01-18T02:24:31.000Z,,
DFEAJ0038,2026-01-26T17:01:06.000Z,23.27,
DFEAJ0038,2026-01-27T05:54:01.000Z,19.145,
DFEAJ0038,2026-01-27T10:28:45.000Z,20.03333333333333,
DFEAJ0038,2026-01-29T14:51:24.000Z,,
DFEAJ0038,2026-02-01T12:16:08.000Z,,
DFEAJ0038,2026-02-05T20:12:20.000Z,25.23,
DFESS1920,2026-02-10T14:04:25.000Z,20.01,34.63
DFFDA0268,2026-01-26T13:54:52.000Z,6.46,
